date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-09-25T10:40:00.000000,12201.55,12205.3,12201.55,12205.3,62,ULTRACEMCO,12198.618829298313,12199.581808454837,41.193312447287276,12232.5,36.84570392860318,
2025-09-25T10:45:00.000000,12205.3,12240.8,12200.0,12240.8,26,ULTRACEMCO,12207.05506343865,12203.328916777125,42.15334574061154,12232.5,34.946473300046236,
2025-09-25T10:50:00.000000,12240.8,12240.8,12201.0,12201.0,13,ULTRACEMCO,12205.84405075092,12203.117197070114,42.76945340773083,12232.5,33.182902002100505,
2025-09-25T10:55:00.000000,12201.0,12220.0,12201.0,12220.0,31,ULTRACEMCO,12208.675240600736,12204.651997336468,44.0916883328231,12232.5,31.545300082579466,
2025-09-25T11:00:00.000000,12220.0,12220.0,12220.0,12220.0,1,ULTRACEMCO,12210.94019248059,12206.04727030588,45.16485088854409,12232.5,30.024669728738502,
2025-09-25T11:05:00.000000,12220.0,12240.8,12220.0,12240.8,11,ULTRACEMCO,12216.912153984471,12209.206609368983,46.458351636320245,12232.5,29.760633064148518,
2025-09-25T11:10:00.000000,12240.8,12253.4,12238.95,12238.95,9,ULTRACEMCO,12221.319723187577,12211.910553971802,47.72153793641628,12232.5,30.06593035238072,
2025-09-25T11:15:00.000000,12238.95,12245.75,12238.95,12245.75,11,ULTRACEMCO,12226.205778550062,12214.986867247093,49.09120046491946,12232.5,30.34942069145348,
2025-09-25T11:20:00.000000,12245.75,12262.0,12245.75,12262.0,75,ULTRACEMCO,12233.36462284005,12219.260788406447,50.746480958845986,12232.5,31.250147122390207,
2025-09-25T11:25:00.000000,12262.0,12262.0,12238.65,12245.0,201,ULTRACEMCO,12235.69169827204,12221.600716733134,51.44283324731524,12232.5,31.475375727833388,
2025-09-25T11:30:00.000000,12245.0,12246.35,12202.9,12214.05,65,ULTRACEMCO,12231.363358617631,12220.914287939213,51.69227418563274,12232.5,29.33224099226337,
2025-09-25T11:35:00.000000,12214.05,12214.05,12172.45,12172.45,9,ULTRACEMCO,12219.580686894105,12216.508443581102,51.37643490822195,12232.5,28.4620313658927,
2025-09-25T11:40:00.000000,12172.45,12172.45,12167.7,12167.7,11,ULTRACEMCO,12209.204549515285,12212.071312346457,51.16978186172189,12232.5,27.830960758316728,
2025-09-25T11:45:00.000000,12167.7,12167.7,12155.05,12167.0,17,ULTRACEMCO,12200.763639612229,12207.973920314962,51.11721131016663,12232.5,27.69847389630207,
2025-09-25T11:50:00.000000,12167.0,12167.0,12148.55,12160.3,36,ULTRACEMCO,12192.670911689784,12203.639927559056,50.772299511142066,12232.5,27.796898738776925,
2025-09-25T11:55:00.000000,12160.3,12160.3,12159.0,12159.0,4,ULTRACEMCO,12185.936729351826,12199.581752326414,50.18149660154046,12232.5,27.88829323536072,
2025-09-25T12:00:00.000000,12159.0,12169.45,12159.0,12169.45,32,ULTRACEMCO,12182.63938348146,12196.842502114921,49.59261107038483,12232.5,27.38309365152519,
2025-09-25T12:05:00.000000,12169.45,12174.85,12169.45,12174.85,8,ULTRACEMCO,12181.081506785169,12194.843183740837,49.24036862796352,12232.5,26.57667843684868,
2025-09-25T12:10:00.000000,12174.85,12180.0,12172.45,12180.0,9,ULTRACEMCO,12180.865205428136,12193.493803400761,48.97948269076853,12232.5,25.507822206154337,
2025-09-25T12:15:00.000000,12180.0,12180.0,12175.0,12175.0,5,ULTRACEMCO,12179.692164342508,12191.812548546146,48.6728639037096,12232.5,24.51531284908101,
2025-09-25T12:20:00.000000,12175.0,12175.0,12168.1,12168.1,9,ULTRACEMCO,12177.373731474006,12189.656862314678,48.199699080292014,12232.5,23.95089360392146,
2025-09-25T12:25:00.000000,12168.1,12168.1,12164.0,12164.0,17,ULTRACEMCO,12174.698985179206,12187.324420286071,47.12977228389778,12232.5,23.63489732338874,
2025-09-25T12:30:00.000000,12164.0,12186.15,12164.0,12186.15,9,ULTRACEMCO,12176.989188143365,12187.21765480552,47.119802637939316,12232.5,22.128177981808793,
2025-09-25T12:35:00.000000,12186.15,12186.15,12186.15,12186.15,0,ULTRACEMCO,12178.821350514692,12187.120595277745,46.86097999932961,12232.5,20.729081450341702,
2025-09-25T12:40:00.000000,12186.15,12216.2,12186.15,12215.6,43,ULTRACEMCO,12186.177080411753,12189.709632070677,47.063109344655814,12232.5,20.643946693318714,
2025-09-25T12:45:00.000000,12215.6,12219.6,12205.25,12219.6,25,ULTRACEMCO,12192.861664329403,12192.42693824607,47.064990710746045,12232.5,20.71182037083411,
2025-09-25T12:50:00.000000,12219.6,12225.65,12219.6,12225.65,1,ULTRACEMCO,12199.419331463521,12195.447216587336,47.17949844230573,12232.5,21.036390776956445,
